date,ntl_mean,ntl_sum,ntl_n
2016-06-12,6.001893167567906,12489.939681708813,2081
2016-06-13,6.614328068875739,13764.416711330414,2081
2016-06-14,5.454889092392099,11351.624201267958,2081
2016-06-15,5.1171772777962605,10648.845915094018,2081
2016-06-16,5.256897665502961,10939.604041911662,2081
2016-06-17,5.8373974757086655,12147.624146949733,2081
2016-06-18,6.256461326603933,13019.696020662785,2081
2016-06-19,5.373716938550594,11182.704949123785,2081
2016-06-20,6.026718268839572,12541.600717455149,2081
2016-06-21,5.65758983277215,11773.444441998843,2081
2016-06-22,4.926589447050926,10252.232639312975,2081
2016-06-23,5.3487119505160425,11130.669569023885,2081
2016-06-26,5.921780019712127,12323.224221020935,2081
2016-06-27,5.232730487972884,10889.312145471573,2081
2016-06-28,6.188398451214511,12878.057176977396,2081
2016-06-29,7.177902348020912,14937.214786231518,2081
2016-06-30,5.866974176451428,12209.17326119542,2081
2016-07-01,5.151917766215766,10721.140871495008,2081
2016-07-02,5.978455334916131,12441.165551960468,2081
2016-07-03,5.82448237425487,12120.747820824385,2081
2016-07-04,6.208059689793548,12918.972214460371,2081
2016-07-05,5.909199636381215,12297.044443309307,2081
2016-07-06,4.259439233960812,8863.89304587245,2081
2016-07-07,4.14824778549033,8632.503641605377,2081
2016-07-08,5.828008832853039,12128.086381167172,2081
2016-07-09,6.866574604031109,14289.341750988737,2081
2016-07-10,5.720164899683411,11903.66315624118,2081
2016-07-11,5.116990428441193,10648.457081586124,2081
2016-07-12,3.785572522566446,7877.776419460773,2081
2016-07-13,5.676363866011837,11812.513205170631,2081
2016-07-14,7.069847686109721,14712.35303479433,2081
2016-07-15,5.137137002136661,10690.38210144639,2081
2016-07-16,5.860275955413366,12195.234263215214,2081
2016-07-17,5.072401040332242,10555.666564931396,2081
2016-07-18,4.9096045392077166,10216.88704609126,2081
2016-07-19,5.574553080130474,11600.644959751517,2081
2016-07-20,5.875034653455921,12225.947113841772,2081
2016-07-21,5.072708909695629,10556.307241076604,2081
2016-07-22,4.451654137254908,9263.892259627464,2081
2016-07-23,4.9430005909421455,10286.384229750603,2081
2016-07-24,6.053662002529756,12597.670627264422,2081
2016-07-25,7.325421055967274,15244.201217467897,2081
2016-07-26,5.848599411228538,12170.935374766588,2081
2016-07-27,5.794760467247399,12058.896532341838,2081
2016-07-28,5.0833592263910985,10578.470550119877,2081
2016-07-29,5.221657729582796,10866.269735261798,2081
2016-07-30,5.859391433854105,12193.393573850391,2081
2016-07-31,5.859030315576408,12192.642086714506,2081
2016-08-01,5.759526421156198,11985.574482426047,2081
2016-08-02,5.03742874950414,10482.889227718117,2081
2016-08-03,4.859542718906348,10112.70839804411,2081
2016-08-04,5.7435161121357865,11952.257029354572,2081
2016-08-05,6.285996904887585,13081.159559071064,2081
2016-08-06,6.448228678297733,13418.763879537582,2081
2016-08-07,5.186083032628311,10792.238790899515,2081
2016-08-08,5.647137642966504,11751.693435013294,2081
2016-08-09,5.266098087615029,10958.750120326877,2081
2016-08-10,6.394868184985564,13307.720692954956,2081
2016-08-11,5.833623147817084,12139.769770607352,2081
2016-08-12,4.533815812149453,9434.870705083013,2081
2016-08-13,4.957090967359421,10315.706303074956,2081
2016-08-14,5.770169320722602,12007.722356423736,2081
2016-08-15,5.879290677268722,12234.80389939621,2081
2016-08-16,6.4907853327523055,13507.324277457548,2081
2016-08-17,5.424390052276512,11288.15569878742,2081
2016-08-18,5.540446801872361,11529.669794696383,2081
2016-08-19,4.684629412370849,9748.713807143737,2081
2016-08-20,5.485260291126395,11414.826665834027,2081
2016-08-21,6.517766571417988,13563.472235120831,2081
2016-08-22,5.434596503160716,11309.39532307745,2081
2016-08-23,4.949011136529316,10298.892175117508,2081
2016-08-24,4.831694335080164,10054.75591130182,2081
2016-08-25,5.049911523462487,10508.865880325437,2081
2016-08-26,5.766945054572915,12001.012658566236,2081
2016-08-27,6.154896963479025,12808.340580999851,2081
2016-08-28,5.760477037297482,11987.55271461606,2081
2016-08-29,5.181256039806537,10782.193818837404,2081
2016-08-30,4.799885212429896,9988.561127066612,2081
2016-08-31,6.398436598297153,13315.146561056376,2081
2016-09-01,6.173470625198271,12846.992371037602,2081
2016-09-02,4.87182907930565,10138.276314035058,2081
2016-09-03,4.263949008908254,8873.277887538075,2081
2016-09-04,5.835331231276901,12143.32429228723,2081
2016-09-06,6.662117788749168,13863.867118387016,2081
2016-09-07,6.054758340184761,12599.952105924487,2081
2016-09-08,5.434448072345769,11309.086438551543,2081
2016-09-09,5.994162773087814,12473.85273079574,2081
2016-09-10,5.415030895689827,11268.67929393053,2081
2016-09-11,6.753666642836686,14054.380283743145,2081
2016-09-12,6.597147295733933,13728.663522422314,2081
2016-09-13,5.352604697715779,11138.770375946537,2081
2016-09-14,4.740987477606645,9865.994940899427,2081
2016-09-15,4.615110836834706,9604.045651453023,2081
2016-09-16,5.411351552262623,11261.02258025852,2081
2016-09-17,5.863894120074762,12202.76366387558,2081
2016-09-18,5.945945998210709,12373.513622276483,2081
2016-09-19,5.858705101529577,12191.965316283053,2081
2016-09-20,5.063553485869001,10537.25480409339,2081
2016-09-21,5.548522612314319,11546.475556226098,2081
